,sentiment
201,negative
202,negative
203,neutral
204,negative
205,negative
206,negative
207,negative
208,negative
209,negative
210,negative
211,negative
212,negative
213,negative
214,negative
215,negative
216,negative
217,negative
218,neutral
219,negative
220,neutral
221,negative
222,negative
223,negative
224,neutral
225,neutral
226,negative
227,negative
228,neutral
229,negative
230,negative
231,negative
232,negative
233,neutral
234,negative
235,positive
236,negative
237,positive
238,neutral
239,neutral
240,negative
241,negative
242,negative
243,positive
244,negative
245,negative
246,neutral
247,neutral
248,neutral
249,negative
250,negative
251,negative
252,negative
253,negative
254,positive
255,negative
256,positive
257,negative
258,neutral
259,negative
260,negative
261,negative
262,negative
263,negative
264,negative
265,neutral
266,negative
267,negative
268,negative
269,negative
270,negative
271,negative
272,negative
273,neutral
274,negative
275,negative
276,negative
277,negative
278,positive
279,neutral
280,positive
281,negative
282,negative
283,negative
284,negative
285,negative
286,negative
287,positive
288,negative
289,negative
290,negative
291,negative
292,neutral
293,positive
294,negative
295,negative
296,neutral
297,negative
298,positive
299,negative
300,negative
301,negative
302,neutral
303,neutral
304,negative
305,negative
306,neutral
307,negative
308,negative
309,negative
310,negative
311,negative
312,negative
313,neutral
314,negative
315,negative
316,positive
317,negative
318,negative
319,neutral
320,positive
321,neutral
322,negative
323,neutral
324,negative
325,negative
326,negative
327,neutral
328,neutral
329,positive
330,negative
331,positive
332,positive
333,negative
334,negative
335,positive
336,negative
337,negative
338,negative
339,negative
340,negative
341,negative
342,negative
343,positive
344,neutral
345,negative
346,negative
347,neutral
348,negative
349,neutral
350,neutral
351,negative
352,neutral
353,negative
354,negative
355,negative
356,negative
357,negative
358,negative
359,negative
360,negative
361,positive
362,negative
363,negative
364,negative
365,negative
366,neutral
367,positive
368,positive
369,neutral
370,negative
371,neutral
372,neutral
373,negative
374,negative
375,negative
376,negative
377,negative
378,negative
379,negative
380,negative
381,negative
382,negative
383,neutral
384,negative
385,neutral
386,positive
387,negative
388,negative
389,negative
390,negative
391,negative
392,negative
393,negative
394,negative
395,neutral
396,negative
397,negative
398,negative
399,neutral
400,positive
401,negative
402,negative
403,neutral
404,negative
405,negative
406,negative
407,negative
408,neutral
409,negative
410,negative
411,negative
412,negative
413,negative
414,negative
415,positive
416,negative
417,negative
418,negative
419,neutral
420,negative
421,positive
422,negative
423,negative
424,positive
425,negative
426,negative
427,negative
428,neutral
429,negative
430,negative
431,negative
432,negative
433,negative
434,negative
435,neutral
436,negative
437,negative
438,neutral
439,negative
440,negative
441,negative
442,neutral
443,negative
444,negative
445,positive
446,neutral
447,negative
448,negative
449,negative
450,negative
451,negative
452,neutral
453,negative
454,negative
455,negative
456,negative
457,neutral
458,negative
459,negative
460,negative
461,negative
462,negative
463,positive
464,negative
465,negative
466,negative
467,positive
468,negative
469,negative
470,negative
471,negative
472,neutral
473,negative
474,negative
475,positive
476,negative
477,negative
478,neutral
479,negative
480,negative
481,negative
482,negative
483,negative
484,neutral
485,neutral
486,negative
487,negative
488,negative
489,positive
490,negative
491,negative
492,neutral
493,negative
494,negative
495,negative
496,negative
497,neutral
498,positive
499,negative
500,positive
501,neutral
502,negative
503,negative
504,negative
505,negative
506,negative
507,negative
508,negative
509,negative
510,negative
511,negative
512,negative
513,neutral
514,negative
515,negative
516,negative
517,neutral
518,neutral
519,positive
520,negative
521,negative
522,negative
523,negative
524,negative
525,negative
526,negative
527,negative
528,negative
529,negative
530,negative
531,negative
532,positive
533,negative
534,negative
535,negative
536,neutral
537,neutral
538,negative
539,neutral
540,positive
541,negative
542,negative
543,negative
544,positive
545,negative
546,negative
547,neutral
548,negative
549,negative
550,negative
551,neutral
552,negative
553,positive
554,negative
555,negative
556,neutral
557,neutral
558,positive
559,negative
560,neutral
561,negative
562,neutral
563,negative
564,neutral
565,neutral
566,neutral
567,neutral
568,negative
569,neutral
570,negative
571,negative
572,negative
573,negative
574,positive
575,negative
576,negative
577,negative
578,negative
579,negative
580,negative
581,negative
582,negative
583,negative
584,positive
585,negative
586,negative
587,negative
588,negative
589,positive
590,neutral
591,negative
592,positive
593,negative
594,negative
595,negative
596,negative
597,positive
598,negative
599,negative
600,negative
601,negative
602,positive
603,negative
604,negative
605,negative
606,negative
607,negative
608,negative
609,negative
610,negative
611,neutral
612,negative
613,negative
614,negative
615,positive
616,positive
617,negative
618,negative
619,negative
620,negative
621,negative
622,negative
623,negative
624,negative
625,negative
626,negative
627,negative
628,negative
629,negative
630,negative
631,negative
632,positive
633,neutral
634,neutral
635,negative
636,negative
637,negative
638,negative
639,positive
640,neutral
641,negative
642,negative
643,negative
644,neutral
645,negative
646,negative
647,neutral
648,negative
649,positive
650,negative
651,negative
652,neutral
653,negative
654,negative
655,negative
656,neutral
657,negative
658,negative
659,negative
660,negative
661,negative
662,negative
663,neutral
664,negative
665,negative
666,negative
667,negative
668,negative
669,negative
670,negative
671,negative
672,negative
673,negative
674,negative
675,negative
676,positive
677,negative
678,negative
679,negative
680,negative
681,positive
682,negative
683,negative
684,negative
685,negative
686,positive
687,negative
688,negative
689,negative
690,positive
691,positive
692,positive
693,neutral
694,neutral
695,negative
696,negative
697,neutral
698,negative
699,neutral
700,negative
701,negative
702,negative
703,positive
704,negative
705,positive
706,positive
707,negative
708,neutral
709,positive
710,negative
711,negative
712,neutral
713,negative
714,neutral
715,positive
716,negative
717,negative
718,negative
719,positive
720,positive
721,negative
722,negative
723,negative
724,positive
725,neutral
726,negative
727,negative
728,negative
729,negative
730,neutral
731,negative
732,negative
733,negative
734,negative
735,negative
736,neutral
737,positive
738,negative
739,negative
740,negative
741,neutral
742,negative
743,negative
744,negative
745,negative
746,negative
747,negative
748,negative
749,neutral
750,negative
751,neutral
752,negative
753,negative
754,negative
755,negative
756,negative
757,negative
758,negative
759,negative
760,negative
761,negative
762,negative
763,negative
764,negative
765,negative
766,negative
767,negative
768,positive
769,neutral
770,negative
771,negative
772,negative
773,negative
774,negative
775,negative
776,negative
777,negative
778,negative
779,negative
780,negative
781,negative
782,negative
783,negative
784,negative
785,neutral
786,negative
787,negative
788,negative
789,negative
790,neutral
791,neutral
792,neutral
793,neutral
794,negative
795,positive
796,negative
797,neutral
798,positive
799,negative
800,positive
801,negative
802,positive
803,neutral
804,neutral
805,negative
806,neutral
807,negative
808,negative
809,negative
810,negative
811,negative
812,negative
813,negative
814,neutral
815,negative
816,negative
817,negative
818,positive
819,negative
820,negative
821,negative
822,positive
823,neutral
824,negative
825,negative
826,negative
827,negative
828,negative
829,negative
830,positive
831,negative
832,neutral
833,negative
834,positive
835,neutral
836,neutral
837,negative
838,negative
839,negative
840,negative
841,negative
842,positive
843,negative
844,negative
845,negative
846,negative
847,neutral
848,negative
849,neutral
850,negative
851,negative
852,negative
853,negative
854,neutral
855,negative
856,negative
857,negative
858,negative
859,positive
860,negative
861,negative
862,negative
863,neutral
864,positive
865,negative
866,negative
867,negative
868,neutral
869,neutral
870,neutral
871,negative
872,negative
873,negative
874,negative
875,negative
876,positive
877,positive
878,negative
879,negative
880,negative
881,negative
882,neutral
883,neutral
884,negative
885,negative
886,positive
887,neutral
888,neutral
889,negative
890,neutral
891,negative
892,negative
893,negative
894,negative
895,negative
896,negative
897,negative
898,negative
899,neutral
900,negative
901,negative
902,neutral
903,negative
904,negative
905,negative
906,negative
907,positive
908,negative
909,negative
910,neutral
911,positive
912,negative
913,negative
914,negative
915,negative
916,negative
917,negative
918,negative
919,negative
920,negative
921,negative
922,neutral
923,negative
924,negative
925,negative
926,negative
927,negative
928,negative
929,negative
930,negative
931,negative
932,neutral
933,positive
934,negative
935,negative
936,neutral
937,negative
938,neutral
939,positive
940,negative
941,neutral
942,negative
943,neutral
944,negative
945,negative
946,neutral
947,neutral
948,neutral
949,positive
950,negative
951,negative
952,negative
953,negative
954,negative
955,neutral
956,negative
957,negative
958,negative
959,neutral
960,positive
961,negative
962,negative
963,negative
964,negative
965,neutral
966,negative
967,negative
968,neutral
969,positive
970,negative
971,neutral
972,negative
973,positive
974,negative
975,negative
976,negative
977,positive
978,negative
979,neutral
980,negative
981,negative
982,negative
983,negative
984,negative
985,negative
986,neutral
987,negative
988,negative
989,neutral
990,neutral
991,neutral
992,negative
993,neutral
994,neutral
995,negative
996,negative
997,neutral
998,positive
999,negative
1000,negative
1001,negative
1002,negative
1003,positive
1004,negative
1005,negative
1006,negative
1007,negative
1008,negative
1009,negative
1010,negative
1011,negative
1012,negative
1013,negative
1014,neutral
1015,negative
1016,negative
1017,positive
1018,neutral
1019,negative
1020,negative
1021,negative
1022,negative
1023,negative
1024,negative
1025,negative
1026,negative
1027,negative
1028,neutral
1029,neutral
1030,negative
1031,negative
1032,negative
1033,positive
1034,positive
1035,negative
1036,negative
1037,negative
1038,positive
1039,negative
1040,negative
1041,positive
1042,negative
1043,neutral
1044,negative
1045,positive
1046,negative
1047,positive
1048,negative
1049,negative
1050,negative
1051,negative
1052,neutral
1053,negative
1054,negative
1055,negative
1056,neutral
1057,negative
1058,neutral
1059,negative
1060,negative
1061,negative
1062,negative
1063,positive
1064,negative
1065,negative
1066,negative
1067,neutral
1068,negative
1069,neutral
1070,neutral
1071,neutral
1072,positive
1073,positive
1074,negative
1075,negative
1076,neutral
1077,positive
1078,neutral
1079,neutral
1080,neutral
1081,neutral
1082,neutral
1083,neutral
1084,negative
1085,negative
1086,neutral
1087,neutral
1088,negative
1089,positive
1090,negative
1091,neutral
1092,positive
1093,negative
1094,negative
1095,neutral
1096,negative
1097,negative
1098,negative
1099,neutral
1100,negative
1101,negative
1102,neutral
1103,neutral
1104,neutral
1105,positive
1106,neutral
1107,negative
1108,neutral
1109,neutral
1110,negative
1111,negative
1112,neutral
1113,neutral
1114,positive
1115,negative
1116,positive
1117,neutral
1118,negative
1119,negative
1120,negative
1121,negative
1122,neutral
1123,negative
1124,negative
1125,positive
1126,negative
1127,negative
1128,negative
1129,neutral
1130,negative
1131,positive
1132,positive
1133,negative
1134,negative
1135,negative
1136,negative
1137,negative
1138,positive
1139,negative
1140,negative
1141,negative
1142,negative
1143,neutral
1144,negative
1145,negative
1146,negative
1147,negative
1148,negative
1149,negative
1150,negative
1151,neutral
1152,negative
1153,negative
1154,negative
1155,negative
1156,neutral
1157,negative
1158,positive
1159,neutral
1160,negative
1161,negative
1162,positive
1163,negative
1164,negative
1165,negative
1166,neutral
1167,negative
1168,negative
1169,negative
1170,negative
1171,negative
1172,negative
1173,negative
1174,negative
1175,neutral
1176,negative
1177,negative
1178,positive
1179,negative
1180,negative
1181,negative
1182,neutral
1183,positive
1184,negative
1185,positive
1186,neutral
1187,negative
1188,negative
1189,neutral
1190,negative
1191,negative
1192,neutral
1193,neutral
1194,negative
1195,negative
1196,neutral
1197,negative
1198,neutral
1199,negative
1200,negative
1201,neutral
1202,negative
1203,negative
1204,positive
1205,negative
1206,positive
1207,negative
1208,negative
1209,negative
1210,negative
1211,negative
1212,negative
1213,negative
1214,negative
1215,neutral
1216,neutral
1217,negative
1218,negative
1219,positive
1220,positive
1221,negative
1222,negative
1223,positive
1224,negative
1225,negative
1226,negative
1227,negative
1228,neutral
1229,negative
1230,negative
1231,negative
1232,negative
1233,negative
1234,negative
1235,positive
1236,negative
1237,neutral
1238,negative
1239,negative
1240,neutral
1241,neutral
1242,negative
1243,neutral
1244,negative
1245,negative
1246,neutral
1247,negative
1248,neutral
1249,negative
1250,neutral
1251,negative
1252,neutral
1253,negative
1254,negative
1255,neutral
1256,negative
1257,neutral
1258,negative
1259,negative
1260,negative
1261,negative
1262,negative
1263,negative
1264,neutral
1265,negative
1266,neutral
1267,negative
1268,negative
1269,negative
1270,negative
1271,negative
1272,positive
1273,positive
1274,negative
1275,negative
1276,neutral
1277,neutral
1278,negative
1279,neutral
1280,positive
1281,negative
1282,negative
1283,neutral
1284,negative
1285,negative
1286,neutral
1287,negative
1288,negative
1289,neutral
1290,neutral
1291,negative
1292,negative
1293,negative
1294,negative
1295,negative
1296,negative
1297,negative
1298,neutral
1299,positive
1300,negative
1301,neutral
1302,negative
1303,negative
1304,neutral
1305,negative
1306,positive
1307,negative
1308,neutral
1309,negative
1310,neutral
1311,negative
1312,neutral
1313,positive
1314,negative
1315,negative
1316,negative
1317,negative
1318,negative
1319,negative
1320,positive
1321,neutral
1322,negative
1323,negative
1324,positive
1325,neutral
1326,neutral
1327,neutral
1328,negative
1329,neutral
1330,negative
1331,neutral
1332,positive
1333,negative
1334,negative
1335,negative
1336,negative
1337,negative
1338,negative
1339,negative
1340,negative
1341,negative
1342,positive
1343,negative
1344,negative
1345,negative
1346,neutral
1347,negative
1348,negative
1349,negative
1350,negative
1351,negative
1352,positive
1353,negative
1354,negative
1355,positive
1356,negative
1357,negative
1358,positive
1359,positive
1360,negative
1361,negative
1362,neutral
1363,neutral
1364,negative
1365,negative
1366,negative
1367,positive
1368,negative
1369,negative
1370,negative
1371,positive
1372,negative
1373,negative
1374,negative
1375,positive
1376,negative
1377,positive
1378,neutral
1379,negative
1380,positive
1381,negative
1382,neutral
1383,negative
1384,negative
1385,negative
1386,neutral
1387,negative
1388,negative
1389,negative
1390,negative
1391,negative
1392,negative
1393,negative
1394,positive
1395,negative
1396,neutral
1397,negative
1398,neutral
1399,negative
1400,neutral
1401,positive
1402,positive
1403,negative
1404,neutral
1405,negative
1406,positive
1407,positive
1408,negative
1409,negative
1410,negative
1411,negative
1412,negative
1413,negative
1414,negative
1415,negative
1416,negative
1417,negative
1418,negative
1419,negative
1420,negative
1421,negative
1422,negative
1423,positive
1424,neutral
1425,positive
1426,negative
1427,positive
1428,negative
1429,negative
1430,positive
1431,negative
1432,negative
1433,negative
1434,negative
1435,negative
1436,negative
1437,negative
1438,negative
1439,positive
1440,neutral
1441,neutral
1442,negative
1443,negative
1444,negative
1445,negative
1446,negative
1447,negative
1448,neutral
1449,negative
1450,negative
1451,negative
1452,negative
1453,neutral
1454,negative
1455,negative
1456,negative
1457,neutral
1458,neutral
1459,positive
1460,neutral
1461,negative
1462,neutral
1463,negative
1464,neutral
1465,neutral
1466,negative
1467,positive
1468,negative
1469,negative
1470,negative
1471,negative
1472,negative
1473,negative
1474,negative
1475,negative
1476,neutral
1477,negative
1478,negative
1479,negative
1480,negative
1481,positive
1482,neutral
1483,negative
1484,negative
1485,negative
1486,negative
1487,negative
1488,neutral
1489,neutral
1490,negative
1491,neutral
1492,negative
1493,neutral
1494,negative
1495,positive
1496,negative
1497,negative
1498,negative
1499,negative
1500,negative
1501,negative
1502,negative
1503,positive
1504,positive
1505,negative
1506,positive
1507,negative
1508,negative
1509,negative
1510,positive
1511,negative
1512,negative
1513,neutral
1514,neutral
1515,negative
1516,negative
1517,negative
1518,negative
1519,neutral
1520,neutral
1521,negative
1522,neutral
1523,neutral
1524,neutral
1525,negative
1526,negative
1527,neutral
1528,negative
1529,neutral
1530,negative
1531,positive
1532,negative
1533,negative
1534,positive
1535,negative
1536,negative
1537,negative
1538,negative
1539,negative
1540,negative
1541,positive
1542,negative
1543,negative
1544,negative
1545,neutral
1546,negative
1547,negative
1548,negative
1549,negative
1550,negative
1551,negative
1552,neutral
1553,neutral
1554,negative
1555,negative
1556,negative
1557,negative
1558,negative
1559,negative
1560,negative
1561,neutral
1562,negative
1563,negative
1564,negative
1565,neutral
1566,negative
1567,negative
1568,negative
1569,neutral
1570,negative
1571,negative
1572,neutral
1573,neutral
1574,positive
1575,neutral
1576,negative
1577,negative
1578,negative
1579,negative
1580,negative
1581,negative
1582,negative
1583,neutral
1584,positive
1585,negative
1586,negative
1587,negative
1588,negative
1589,positive
1590,negative
1591,negative
1592,negative
1593,negative
1594,negative
1595,positive
1596,negative
1597,negative
1598,negative
1599,negative
1600,negative
1601,negative
1602,negative
1603,negative
1604,negative
1605,negative
1606,negative
1607,negative
1608,neutral
1609,negative
1610,negative
1611,positive
1612,neutral
1613,positive
1614,negative
1615,negative
1616,negative
1617,negative
1618,positive
1619,negative
1620,negative
1621,negative
1622,neutral
1623,negative
1624,negative
1625,negative
1626,negative
1627,negative
1628,positive
1629,negative
1630,negative
1631,positive
1632,neutral
1633,negative
1634,negative
1635,negative
1636,negative
1637,negative
1638,positive
1639,positive
1640,negative
1641,negative
1642,neutral
1643,negative
1644,negative
1645,negative
1646,neutral
1647,negative
1648,neutral
1649,negative
1650,negative
1651,negative
1652,negative
1653,negative
1654,neutral
1655,positive
1656,negative
1657,negative
1658,negative
1659,negative
1660,positive
1661,neutral
1662,neutral
1663,negative
1664,negative
1665,negative
1666,negative
1667,positive
1668,negative
1669,negative
1670,negative
1671,negative
1672,neutral
1673,neutral
1674,negative
1675,negative
1676,negative
1677,neutral
1678,neutral
1679,negative
1680,negative
1681,negative
1682,neutral
1683,negative
1684,negative
1685,negative
1686,neutral
1687,negative
1688,negative
1689,negative
1690,negative
1691,negative
1692,neutral
1693,negative
1694,negative
1695,negative
1696,negative
1697,negative
1698,positive
1699,negative
1700,negative
1701,negative
1702,negative
1703,negative
1704,negative
1705,positive
1706,neutral
1707,negative
1708,negative
1709,positive
1710,negative
1711,negative
1712,negative
1713,negative
1714,negative
1715,negative
1716,negative
1717,negative
1718,negative
1719,positive
1720,neutral
1721,positive
1722,negative
1723,negative
1724,negative
1725,negative
1726,positive
1727,negative
1728,negative
1729,negative
1730,positive
1731,negative
1732,negative
1733,negative
1734,negative
1735,negative
1736,negative
1737,negative
1738,negative
1739,negative
1740,positive
1741,negative
1742,negative
1743,neutral
1744,neutral
1745,negative
1746,negative
1747,neutral
1748,negative
1749,negative
1750,negative
1751,negative
1752,negative
1753,negative
1754,negative
1755,negative
1756,negative
1757,positive
1758,negative
1759,negative
1760,negative
1761,positive
1762,positive
1763,negative
1764,negative
1765,negative
1766,negative
1767,neutral
1768,negative
1769,negative
1770,negative
1771,negative
1772,negative
1773,negative
1774,positive
1775,neutral
1776,positive
1777,negative
1778,negative
1779,negative
1780,negative
1781,negative
1782,negative
1783,negative
1784,negative
1785,neutral
1786,negative
1787,negative
1788,neutral
1789,negative
1790,negative
1791,negative
1792,negative
1793,negative
1794,negative
1795,positive
1796,negative
1797,negative
1798,negative
1799,neutral
1800,neutral
1801,positive
1802,positive
1803,negative
1804,negative
1805,negative
1806,negative
1807,neutral
1808,negative
1809,negative
1810,neutral
1811,neutral
1812,negative
1813,negative
1814,negative
1815,negative
1816,negative
1817,positive
1818,neutral
1819,negative
1820,negative
1821,neutral
1822,neutral
1823,negative
1824,negative
1825,neutral
1826,neutral
1827,negative
1828,negative
1829,negative
1830,negative
1831,negative
1832,negative
1833,negative
1834,negative
1835,negative
1836,negative
1837,negative
1838,negative
1839,negative
1840,positive
1841,negative
1842,negative
1843,negative
1844,negative
1845,negative
1846,negative
1847,negative
1848,negative
1849,neutral
1850,neutral
1851,negative
1852,negative
1853,negative
1854,negative
1855,negative
1856,negative
1857,negative
1858,negative
1859,negative
1860,negative
1861,negative
1862,neutral
1863,neutral
1864,negative
1865,negative
1866,negative
1867,negative
1868,negative
1869,negative
1870,positive
1871,negative
1872,negative
1873,neutral
1874,negative
1875,negative
1876,negative
1877,negative
1878,neutral
1879,negative
1880,neutral
1881,negative
1882,negative
1883,negative
1884,negative
1885,negative
1886,negative
1887,negative
1888,positive
1889,negative
1890,negative
1891,negative
1892,negative
1893,negative
1894,negative
1895,negative
1896,neutral
1897,negative
1898,neutral
1899,neutral
1900,negative
1901,negative
1902,negative
1903,negative
1904,negative
1905,neutral
1906,negative
1907,negative
1908,negative
1909,neutral
1910,negative
1911,negative
1912,negative
1913,negative
1914,negative
1915,neutral
1916,negative
1917,negative
1918,negative
1919,negative
1920,negative
1921,neutral
1922,negative
1923,positive
1924,neutral
1925,negative
1926,negative
1927,negative
1928,negative
1929,negative
1930,negative
1931,neutral
1932,negative
1933,negative
1934,negative
1935,negative
1936,neutral
1937,negative
1938,negative
1939,neutral
1940,neutral
1941,negative
1942,neutral
1943,negative
1944,negative
1945,neutral
1946,neutral
1947,negative
1948,neutral
1949,negative
1950,negative
1951,negative
1952,negative
1953,negative
1954,positive
1955,negative
1956,neutral
1957,negative
1958,negative
1959,negative
1960,neutral
1961,neutral
1962,neutral
1963,positive
1964,negative
1965,negative
1966,negative
1967,negative
1968,neutral
1969,neutral
1970,neutral
1971,positive
1972,negative
1973,negative
1974,neutral
1975,negative
1976,negative
1977,negative
1978,negative
1979,negative
1980,negative
1981,negative
1982,negative
1983,negative
1984,negative
1985,negative
1986,negative
1987,positive
1988,negative
1989,negative
1990,negative
1991,negative
1992,negative
1993,negative
1994,positive
1995,negative
1996,negative
1997,negative
1998,neutral
1999,neutral
2000,negative
2001,negative
2002,negative
2003,neutral
2004,negative
2005,neutral
2006,negative
2007,negative
2008,negative
2009,negative
2010,negative
2011,negative
2012,negative
2013,negative
2014,neutral
2015,negative
2016,neutral
2017,negative
2018,positive
2019,negative
2020,neutral
2021,neutral
2022,negative
2023,positive
2024,negative
2025,negative
2026,negative
2027,negative
2028,neutral
2029,negative
2030,negative
2031,neutral
2032,neutral
2033,negative
2034,neutral
2035,negative
2036,negative
2037,negative
2038,neutral
2039,negative
2040,negative
2041,negative
2042,negative
2043,negative
2044,negative
2045,negative
2046,neutral
2047,negative
2048,negative
2049,neutral
2050,positive
2051,negative
2052,neutral
2053,negative
2054,negative
2055,negative
2056,negative
2057,negative
2058,negative
2059,negative
2060,negative
2061,negative
2062,neutral
2063,negative
2064,negative
2065,negative
2066,negative
2067,positive
2068,negative
2069,negative
2070,negative
2071,negative
2072,negative
2073,negative
2074,negative
2075,negative
2076,negative
2077,neutral
2078,negative
2079,negative
2080,negative
2081,negative
2082,negative
2083,negative
2084,negative
2085,negative
2086,positive
2087,negative
2088,positive
2089,negative
2090,negative
2091,negative
2092,neutral
2093,negative
2094,negative
2095,neutral
2096,negative
2097,negative
2098,negative
2099,negative
2100,negative
2101,negative
2102,negative
2103,negative
2104,negative
2105,negative
2106,negative
2107,positive
2108,negative
2109,negative
2110,negative
2111,negative
2112,negative
2113,negative
2114,negative
2115,negative
2116,negative
2117,negative
2118,negative
2119,neutral
2120,negative
2121,negative
2122,negative
2123,negative
2124,negative
2125,neutral
2126,negative
2127,neutral
2128,negative
2129,negative
2130,negative
2131,negative
2132,negative
2133,negative
2134,negative
2135,negative
2136,negative
2137,negative
2138,negative
2139,positive
2140,negative
2141,negative
2142,negative
2143,negative
2144,negative
2145,negative
2146,negative
2147,negative
2148,negative
2149,negative
2150,negative
2151,negative
2152,negative
2153,negative
2154,positive
2155,positive
2156,negative
2157,negative
2158,negative
2159,negative
2160,negative
2161,negative
2162,negative
2163,neutral
2164,negative
2165,negative
2166,negative
2167,negative
2168,negative
2169,negative
2170,neutral
2171,negative
2172,negative
2173,negative
2174,negative
2175,negative
2176,negative
2177,negative
2178,positive
2179,negative
2180,negative
2181,negative
2182,negative
2183,negative
2184,negative
2185,negative
2186,negative
2187,negative
2188,negative
2189,negative
2190,negative
2191,neutral
2192,negative
2193,negative
2194,negative
2195,negative
2196,negative
2197,negative
2198,negative
2199,negative
2200,negative
2201,negative
2202,neutral
2203,positive
2204,negative
2205,positive
2206,negative
2207,negative
2208,negative
2209,negative
2210,neutral
2211,negative
2212,negative
2213,negative
2214,negative
2215,negative
2216,negative
2217,negative
2218,positive
2219,neutral
2220,negative
2221,negative
2222,negative
2223,negative
2224,neutral
2225,negative
2226,negative
2227,negative
2228,negative
2229,negative
2230,negative
2231,neutral
2232,negative
2233,negative
2234,negative
2235,negative
2236,neutral
2237,negative
2238,negative
2239,negative
2240,negative
2241,negative
2242,negative
2243,neutral
2244,negative
2245,negative
2246,negative
2247,negative
2248,neutral
2249,negative
2250,positive
2251,negative
2252,negative
2253,negative
2254,negative
2255,negative
2256,negative
2257,negative
2258,negative
2259,negative
2260,neutral
2261,negative
2262,negative
2263,negative
2264,negative
2265,negative
2266,negative
2267,negative
2268,negative
2269,neutral
2270,negative
2271,positive
2272,negative
2273,negative
2274,negative
2275,neutral
2276,negative
2277,negative
2278,negative
2279,negative
2280,negative
2281,negative
2282,negative
2283,negative
2284,negative
2285,negative
2286,negative
2287,negative
2288,negative
2289,negative
2290,negative
2291,negative
2292,negative
2293,negative
2294,negative
2295,negative
2296,negative
2297,negative
2298,negative
2299,negative
2300,negative
2301,negative
2302,negative
2303,negative
2304,neutral
2305,negative
2306,negative
2307,negative
2308,negative
2309,negative
2310,negative
2311,negative
2312,negative
2313,negative
2314,negative
2315,neutral
2316,negative
2317,negative
2318,positive
2319,neutral
2320,negative
2321,negative
2322,negative
2323,negative
2324,negative
2325,negative
2326,positive
2327,negative
2328,negative
2329,neutral
2330,negative
2331,negative
2332,negative
2333,negative
2334,neutral
2335,negative
2336,negative
2337,negative
2338,negative
2339,positive
2340,negative
2341,negative
2342,positive
2343,negative
2344,negative
2345,negative
2346,negative
2347,neutral
2348,positive
2349,positive
2350,negative
2351,negative
2352,negative
2353,negative
2354,neutral
2355,negative
2356,neutral
2357,negative
2358,negative
2359,negative
2360,negative
2361,negative
2362,negative
2363,negative
2364,negative
2365,negative
2366,neutral
2367,negative
2368,negative
2369,negative
2370,negative
2371,negative
2372,negative
2373,negative
2374,negative
2375,neutral
2376,negative
2377,negative
2378,negative
2379,negative
2380,negative
2381,negative
2382,negative
2383,negative
2384,positive
2385,negative
2386,negative
2387,negative
2388,negative
2389,negative
2390,negative
2391,negative
2392,neutral
2393,negative
2394,negative
2395,negative
2396,neutral
2397,neutral
2398,negative
2399,positive
2400,neutral
2401,negative
2402,negative
2403,negative
2404,neutral
2405,negative
2406,negative
2407,neutral
2408,negative
2409,negative
2410,neutral
2411,neutral
2412,negative
2413,negative
2414,negative
2415,positive
2416,negative
2417,negative
2418,negative
2419,neutral
2420,negative
2421,negative
2422,positive
2423,negative
2424,negative
2425,negative
